suite,test,count,avg_us,p95_us,p99_us,max_us
SteadyTest,ActiveCountsAndStatsAreStableFor600Ticks,600,168,155,268,375
CollisionChurnTest,SpawnCollideRespawnIsStableFor1000Cycles,1000,3,3,3,8
GameLikePhase0Test,PlayAndReplayProduceSameStateHash/play,360,15,15,20,30
GameLikePhase0Test,PlayAndReplayProduceSameStateHash/replay,360,15,15,20,24
GameLikePhase0Test,SoakTest_3600Ticks,3600,15,15,20,41
